Year,Month,Mkt-RF,SMB,HML,RF
1948,February,-4.38,-1.7,0.05,0.07
1948,March,8.11,0.12,4.52,0.09
1948,April,3.65,-1.64,4.12,0.08
1948,May,7.32,0.87,-1.27,0.08
1948,June,-0.11,-1.78,2.84,0.09
1948,July,-5.08,-0.38,0.11,0.08
1948,August,0.24,-1.13,0.29,0.09
1948,September,-2.99,-1.27,-1.77,0.04
1948,October,5.96,-1.48,0.58,0.04
1948,November,-9.34,-0.61,-4.15,0.04
1948,December,3.26,-2.85,-1.95,0.04
1949,January,0.23,1.71,1.25,0.1
1949,February,-2.93,-1.87,-0.89,0.09
1949,March,4.05,2.48,1.31,0.1
1949,April,-1.87,-0.92,-1.12,0.09
1949,May,-2.98,-0.78,-2.39,0.1
1949,June,0.1,-0.86,-1.65,0.1
1949,July,5.54,0.55,0.39,0.09
1949,August,2.59,0.14,-0.59,0.09
1949,September,3.09,1.05,0.23,0.09
1949,October,3.14,1.03,-0.49,0.09
1949,November,1.81,-0.94,-0.9,0.08
1949,December,5.14,2.08,1.73,0.09
1950,January,1.7,3.34,0.15,0.09
1950,February,1.48,0.02,-0.79,0.09
1950,March,1.26,-1.43,-2.78,0.1
1950,April,3.94,2,1.33,0.09
1950,May,4.32,-2.13,0.47,0.1
1950,June,-5.96,-2.41,-0.79,0.1
1950,July,1.37,0.54,13.69,0.1
1950,August,4.86,0.74,-1.37,0.1
1950,September,4.82,0.59,-1.1,0.1
1950,October,-0.19,-0.66,1.36,0.12
1950,November,2.74,-0.89,3.19,0.11
1950,December,5.57,1.53,7.27,0.11
1951,January,5.7,1.67,3.79,0.13
1951,February,1.4,0.14,-2.79,0.1
1951,March,-2.16,-0.66,-4.26,0.11
1951,April,4.86,-1.48,3.26,0.13
1951,May,-2.36,-0.08,-1.42,0.12
1951,June,-2.63,-1.96,-3.98,0.12
1951,July,6.95,-2.05,2,0.13
1951,August,4.29,0.95,-0.17,0.13
1951,September,0.7,1.86,0.62,0.12
1951,October,-2.53,-0.23,0.18,0.16
1951,November,0.58,-0.33,-0.08,0.11
1951,December,3.33,-2.24,-1.55,0.12
1952,January,1.45,-0.65,1.48,0.15
1952,February,-2.64,0.85,-0.62,0.12
1952,March,4.44,-2.97,2.23,0.11
1952,April,-4.97,0.49,-0.03,0.12
1952,May,3.2,-1,0.02,0.13
1952,June,3.84,-1.63,1.24,0.15
1952,July,0.91,-0.41,-0.32,0.15
1952,August,-0.77,1.15,0.09,0.15
1952,September,-2.04,1.09,-1.42,0.16
1952,October,-0.66,-1.03,-0.55,0.14
1952,November,5.96,-0.72,1.02,0.1
1952,December,2.93,-1.51,0.19,0.16
1953,January,-0.34,3.54,1.28,0.16
1953,February,-0.27,2.22,-0.05,0.14
1953,March,-1.44,-0.21,-0.84,0.18
1953,April,-2.83,0.26,1.55,0.16
1953,May,0.51,-0.05,0.25,0.17
1953,June,-1.89,-1.89,-0.5,0.18
1953,July,2.4,-1.04,-0.25,0.15
1953,August,-4.56,0.37,-3.52,0.17
1953,September,0.21,-0.85,-2.44,0.16
1953,October,4.6,-1.36,-0.19,0.13
1953,November,2.84,-1.3,-0.15,0.08
1953,December,0.02,-0.85,-2.83,0.13
1954,January,5.13,0.5,3.45,0.11
1954,February,1.67,-0.18,-0.27,0.07
1954,March,3.66,-0.5,-1.45,0.08
1954,April,4.27,-3.47,-0.37,0.09
1954,May,3.1,0.39,2.45,0.05
1954,June,1.08,0.38,0.02,0.06
1954,July,5,1.05,4.14,0.05
1954,August,-2.35,2.68,-1.42,0.05
1954,September,6.4,-2.56,0.68,0.09
1954,October,-1.67,0.61,0.64,0.07
1954,November,9.41,-2.65,4.45,0.06
