Year,Month,M1B1,M1B2,M1B3,M2B1,M2B2,M2B3
1939,September,38.6821,39.3323,54.9803,13.5846,16.9098,40.8037
1939,October,0.2302,-0.5695,-5.0122,0.0331,-0.8229,-4.3089
1939,November,-8.1438,-9.4215,-13.7537,-2.6436,-3.6875,-9.629
1939,December,6.1183,3.0125,0.2893,3.5602,2.0978,1.0133
1940,January,-4.2286,-2.132,-2.7816,-2.1582,-2.5225,-5.1493
1940,February,4.1008,4.3868,3.1487,1.2449,1.339,1.4857
1940,March,4.689,2.8567,2.2809,2.3791,1.4582,2.256
1940,April,4.9238,3.2242,4.0867,-0.1285,0.1228,0.2658
1940,May,-27.6797,-27.5193,-32.4369,-22.1156,-20.8742,-24.7936
1940,June,3.8806,5.0074,7.9796,4.9671,8.2268,10.6333
1940,July,4.7274,4.6641,3.3197,3.3885,3.0495,3.3044
1940,August,2.0525,3.0652,1.874,2.2197,1.8048,3.4978
1940,September,5.3788,4.4405,5.1994,3.1575,1.2086,1.0578
1940,October,4.2102,5.8212,6.2991,0.8956,6.3562,8.1008
1940,November,1.1169,0.5214,0.2185,-1.9549,-1.3814,-0.7351
1940,December,-0.9348,-1.3356,-2.3194,0.5886,1.0039,0.1915
1941,January,-4.4615,-2.6882,-0.3185,-5.0398,-3.851,-1.527
1941,February,-3.4701,-1.7819,-2.8938,-1.5848,-1.4845,-0.3844
1941,March,0.5101,1.111,3.777,0.5411,1.2101,3.3749
1941,April,-7.5588,-5.3561,-5.2124,-6.5024,-4.5728,-2.0337
1941,May,1.7473,0.7035,1.5397,0.9382,2.62,2.3589
1941,June,4.112,6.1834,8.4665,6.1766,5.6163,3.0391
1941,July,10.442,10.3034,18.5092,3.7275,8.1813,10.1336
1941,August,-1.1569,-2.1665,-0.3921,0.6964,-0.8511,-2.2669
1941,September,-3.0744,-1.7865,-1.9575,-0.015,-2.2063,-1.6697
1941,October,-5.8864,-6.3353,-6.06,-6.1004,-3.3058,-2.6595
1941,November,-1.0166,-4.1029,-2.7573,-2.2947,-0.5866,-1.7488
1941,December,-5.4901,-8.0349,-12.7114,-4.6851,-3.6309,-9.3434
1942,January,6.7117,10.5357,14.4644,-1.7947,0.5173,10.6456
1942,February,0.5336,-1.1038,-1.6886,-2.3,-2.7974,-2.3738
1942,March,-4.7763,-3.4602,-5.7168,-5.8443,-7.5737,-6.1333
1942,April,-6.184,-3.3645,-3.7306,-4.5901,-4.5034,-2.8613
1942,May,0.1403,1.6947,1.6402,7.4762,4.947,0.6438
1942,June,1.0028,1.3963,2.1428,3.037,2.5938,2.7638
1942,July,5.1702,3.7522,5.147,2.686,4.3109,7.5374
1942,August,2.2485,2.74,2.4946,1.7237,1.7384,4.1308
1942,September,2.1965,2.7703,5.9938,2.6277,2.841,3.6122
1942,October,8.2915,7.5413,14.5034,5.3163,7.8904,12.0539
1942,November,-1.1175,-2.2617,-4.0445,1.0818,0.2149,-4.4601
1942,December,2.597,3.9924,2.6111,4.9052,5.951,5.9985
1943,January,11.735,13.846,23.8295,5.3493,8.038,9.7117
1943,February,10.8744,9.2322,17.4933,4.8184,7.0225,11.2328
1943,March,10.971,11.8303,14.9968,4.1503,7.1573,11.1044
1943,April,-0.9483,2.7049,8.1682,-0.1034,1.2478,2.51
1943,May,8.8514,9.1103,13.2962,5.0294,5.7217,7.1352
1943,June,-0.28,1.0438,0.418,2.1711,1.9591,-0.0172
